%time,field.O_x,field.O_y,field.O_t,field.I_t,field.G_x,field.G_y
1,0.001225,0,0.001225,8.82147e-199,-2.48951e-60,1.48846e-314
2,0.975616,-0.981976,0.32981,0.237156,0.974866,-0.971416
3,0.975616,-0.981976,0.32981,0.23717,0.974866,-0.971416
4,0.975616,-0.981976,0.32981,0.237089,0.974866,-0.971416
5,0.975616,-0.981976,0.32981,0.237105,0.974866,-0.971416
6,0.975616,-0.981976,0.32981,0.23735,0.974866,-0.971416
7,0.975616,-0.981976,0.32981,0.237428,0.974866,-0.971416
8,0.975616,-0.981976,0.32981,0.237302,0.974866,-0.971416
9,0.975616,-0.981976,0.32981,0.237459,0.974866,-0.971416
10,0.975616,-0.981976,0.32981,0.237512,0.973739,-0.970678
11,0.975616,-0.981976,0.32981,0.237543,0.97345,-0.970489
12,0.975616,-0.981976,0.32981,0.23763,0.97345,-0.970489
13,0.975616,-0.981976,0.32981,0.237546,0.97345,-0.970489
14,0.975616,-0.981976,0.32981,0.237601,0.97345,-0.970489
15,0.975616,-0.981976,0.32981,0.2375,0.97345,-0.970489
16,0.975616,-0.981976,0.32981,0.2375,0.97345,-0.970489
17,0.975616,-0.981976,0.32981,0.237537,0.97345,-0.970489
18,0.975616,-0.981976,0.32981,0.237669,0.97345,-0.970489
19,0.975616,-0.981976,0.32981,0.237586,0.973375,-0.969908
20,0.975616,-0.981976,0.32981,0.237846,0.973344,-0.969668
21,0.975616,-0.981976,0.32981,0.237679,0.973344,-0.969668
22,0.975616,-0.981976,0.32981,0.237535,0.973344,-0.969668
23,0.975616,-0.981976,0.32981,0.237617,0.971533,-0.967255
24,0.975616,-0.981976,0.32981,0.237715,0.971533,-0.967255
25,0.975616,-0.981976,0.32981,0.237877,0.971533,-0.967255
26,0.975616,-0.981976,0.32981,0.238011,0.971533,-0.967255
27,0.975616,-0.981976,0.32981,0.23779,0.971533,-0.967255
28,0.975616,-0.981976,0.32981,0.237645,0.971533,-0.967255
29,0.975616,-0.981976,0.32981,0.237684,0.971533,-0.967255
30,0.975616,-0.981976,0.32981,0.237705,0.971533,-0.967255
31,0.975616,-0.981976,0.32981,0.237674,0.973528,-0.967721
32,0.975616,-0.981976,0.32981,0.237765,0.975189,-0.968109
33,0.975616,-0.981976,0.32981,0.237637,0.975189,-0.968109
34,0.975616,-0.981976,0.32981,0.237756,0.975189,-0.968109
35,0.975616,-0.981976,0.32981,0.237769,0.975189,-0.968109
36,0.975616,-0.981976,0.32981,0.237644,0.975189,-0.968109
37,0.975616,-0.981976,0.32981,0.237848,0.975189,-0.968109
38,0.975616,-0.981976,0.32981,0.23805,0.975189,-0.968109
39,0.975616,-0.981976,0.32981,0.238018,0.975103,-0.9708
40,0.975616,-0.981976,0.32981,0.237872,0.975094,-0.971072
41,0.975616,-0.981976,0.32981,0.237819,0.975094,-0.971072
42,0.975616,-0.981976,0.32981,0.237773,0.975094,-0.971072
43,0.975616,-0.981976,0.32981,0.237958,0.975094,-0.971072
44,0.975616,-0.981976,0.32981,0.237914,0.975094,-0.971072
45,0.975616,-0.981976,0.32981,0.237921,0.975094,-0.971072
46,0.975616,-0.981976,0.32981,0.238173,0.975094,-0.971072
47,0.975616,-0.981976,0.32981,0.23832,0.975094,-0.971072
48,0.975616,-0.981976,0.32981,0.238165,0.97653,-0.970685
49,0.975616,-0.981976,0.32981,0.237948,0.976675,-0.970645
